Pathway,Ratio,Hits,Total
Unclassified: metabolism,1.37221269296741e-05,2,250
Unclassified: genetic information processing,0.00012251899044351877,3,42
Unclassified: signaling and cellular processes,4.350311979516245e-05,7,276
Glycolysis / Gluconeogenesis,0.0,0,69
Citrate cycle (TCA cycle),0.0,0,31
Pentose phosphate pathway,0.0,0,30
Pentose and glucuronate interconversions,5.04489960649783e-05,1,34
Fructose and mannose metabolism,0.0,0,33
Galactose metabolism,5.5331156974492333e-05,1,31
Ascorbate and aldarate metabolism,0.0,0,27
Starch and sucrose metabolism,0.0,0,36
Amino sugar and nucleotide sugar metabolism,3.57347055460263e-05,1,48
Pyruvate metabolism,0.0,0,40
Glyoxylate and dicarboxylate metabolism,0.0,0,30
Propanoate metabolism,0.0,0,32
Butanoate metabolism,6.125949522175937e-05,1,28
C5-Branched dibasic acid metabolism,0.0,0,1
Inositol phosphate metabolism,4.635853692457466e-05,2,74
Oxidative phosphorylation,0.0,0,133
Nitrogen metabolism,0.0,0,17
Sulfur metabolism,0.0,0,9
Fatty acid biosynthesis,0.0,0,13
Fatty acid elongation,0.0,0,30
Fatty acid degradation,0.0,0,44
Synthesis and degradation of ketone bodies,0.0,0,10
Cutin,0.0,0,2
Steroid biosynthesis,0.0,0,19
Primary bile acid biosynthesis,0.0,0,17
Steroid hormone biosynthesis,0.0,0,60
Glycerolipid metabolism,5.623822512161516e-05,2,61
Glycerophospholipid metabolism,5.304945977966791e-05,3,97
Ether lipid metabolism,0.0,0,47
Sphingolipid metabolism,3.649501842998431e-05,1,47
Arachidonic acid metabolism,0.0,0,63
Linoleic acid metabolism,0.0,0,29
alpha-Linolenic acid metabolism,0.0,0,25
Biosynthesis of unsaturated fatty acids,0.0,0,27
Purine metabolism,1.3194352816994325e-05,1,130
Pyrimidine metabolism,0.0,0,57
Alanine,4.90075961774075e-05,1,35
Glycine,4.288164665523156e-05,1,40
Cysteine and methionine metabolism,7.299003685996861e-05,2,47
Valine,0.0,0,4
Lysine biosynthesis,0.0,0,1
Lysine degradation,8.721690845131843e-05,3,59
Arginine biosynthesis,0.0,0,21
Arginine and proline metabolism,0.0,0,50
Histidine metabolism,0.0,0,23
Tyrosine metabolism,0.0,0,36
Phenylalanine metabolism,0.0,0,17
Tryptophan metabolism,4.288164665523156e-05,1,40
Phenylalanine,0.0,0,5
beta-Alanine metabolism,0.0,0,31
Taurine and hypotaurine metabolism,0.0,0,11
Phosphonate and phosphinate metabolism,0.0,0,6
Selenocompound metabolism,0.0,0,17
D-Glutamine and D-glutamate metabolism,0.0,0,5
D-Arginine and D-ornithine metabolism,0.0,0,1
Glutathione metabolism,3.0629747610879685e-05,1,56
N-Glycan biosynthesis,0.0,0,49
Mucin type O-glycan biosynthesis,5.5331156974492333e-05,1,31
Mannose type O-glycan biosynthesis,0.0,0,23
Other types of O-glycan biosynthesis,0.0,0,22
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,8.576329331046312e-05,1,20
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,7.14694110920526e-05,1,24
Glycosaminoglycan biosynthesis - keratan sulfate,0.0,0,14
Glycosaminoglycan degradation,0.0,0,19
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.000137221269296741,2,25
Glycosphingolipid biosynthesis - lacto and neolacto series,6.352836541515787e-05,1,27
Glycosphingolipid biosynthesis - globo and isoglobo series,0.0,0,15
Glycosphingolipid biosynthesis - ganglio series,0.0,0,15
Other glycan degradation,0.0,0,18
Thiamine metabolism,0.0,0,16
Riboflavin metabolism,0.0,0,8
Vitamin B6 metabolism,0.0,0,6
Nicotinate and nicotinamide metabolism,0.00011435105774728416,2,30
Pantothenate and CoA biosynthesis,0.0,0,19
Biotin metabolism,0.0,0,3
Lipoic acid metabolism,0.0,0,3
Folate biosynthesis,6.597176408497163e-05,1,26
One carbon pool by folate,0.0,0,20
Retinol metabolism,0.0,0,67
Porphyrin and chlorophyll metabolism,4.0839663481172915e-05,1,42
Ubiquinone and other terpenoid-quinone biosynthesis,0.0,0,11
Terpenoid backbone biosynthesis,0.0,0,22
Biosynthesis of ansamycins,0.0,0,3
Polyketide sugar unit biosynthesis,0.0,0,1
Biosynthesis of vancomycin group antibiotics,0.0,0,1
Caffeine metabolism,0.0,0,5
Penicillin and cephalosporin biosynthesis,0.0,0,1
Monobactam biosynthesis,0.0,0,2
Neomycin,0.0,0,5
Acarbose and validamycin biosynthesis,0.0,0,1
Prodigiosin biosynthesis,0.0,0,1
Aflatoxin biosynthesis,0.0,0,2
Metabolism of xenobiotics by cytochrome P450,0.0,0,75
Drug metabolism - cytochrome P450,0.0,0,71
Drug metabolism - other enzymes,0.0,0,79
Global maps only,0.0,0,1
RNA polymerase,0.0,0,31
Basal transcription factors,3.811701924909472e-05,1,45
Spliceosome,3.353871805437105e-05,7,358
Ribosome,0.0,0,187
Aminoacyl-tRNA biosynthesis,2.59888767607464e-05,1,66
RNA transport,0.0,0,165
mRNA surveillance pathway,3.769815090569808e-05,2,91
Ribosome biogenesis in eukaryotes,1.6653066662225847e-05,1,103
Protein export,7.457677679170706e-05,1,23
Protein processing in endoplasmic reticulum,2.079110140859712e-05,2,165
SNARE interactions in vesicular transport,0.0,0,34
Ubiquitin mediated proteolysis,2.5040377608894342e-05,2,137
Sulfur relay system,0.0,0,8
Proteasome,2.2870211549456832e-05,1,75
RNA degradation,0.0,0,79
DNA replication,9.52925481227368e-05,2,36
Base excision repair,5.19777535214928e-05,1,33
Nucleotide excision repair,7.299003685996861e-05,2,47
Mismatch repair,0.00014915355358341412,2,23
Homologous recombination,8.367150566874451e-05,2,41
Non-homologous end-joining,0.0,0,13
Fanconi anemia pathway,9.529254812273681e-05,3,54
ABC transporters,0.0,0,45
Ras signaling pathway,3.696693677175135e-05,5,232
Rap1 signaling pathway,4.1632666655564625e-05,5,206
MAPK signaling pathway,4.651568450736983e-05,8,295
ErbB signaling pathway,6.053879527797397e-05,3,85
Wnt signaling pathway,4.342445230909525e-05,4,158
Notch signaling pathway,7.14694110920526e-05,2,48
Hedgehog signaling pathway,0.0,0,47
TGF-beta signaling pathway,1.905850962454736e-05,1,90
Hippo signaling pathway,4.455236016127954e-05,4,154
Hippo signaling pathway - multiple species,0.0,0,29
VEGF signaling pathway,2.9072302817106143e-05,1,59
Apelin signaling pathway,1.2520188804447171e-05,1,137
Jak-STAT signaling pathway,0.00011646866992778941,11,162
NF-kappa B signaling pathway,3.611086034124763e-05,2,95
TNF signaling pathway,9.355995633868705e-05,6,110
HIF-1 signaling pathway,1.7152658662092625e-05,1,100
FoxO signaling pathway,2.59888767607464e-05,2,132
Calcium signaling pathway,6.386628225247254e-05,7,188
Phosphatidylinositol signaling system,6.93036713619904e-05,4,99
Phospholipase D signaling pathway,4.635853692457466e-05,4,148
Sphingolipid signaling pathway,2.8827997751416176e-05,2,119
cAMP signaling pathway,5.663613709181527e-05,7,212
cGMP-PKG signaling pathway,4.1331707619500296e-05,4,166
PI3K-Akt signaling pathway,4.3608454225659215e-05,9,354
AMPK signaling pathway,2.858776443682104e-05,2,120
mTOR signaling pathway,3.363266404331887e-05,3,153
Neuroactive ligand-receptor interaction,7.612126625189035e-05,15,338
Cytokine-cytokine receptor interaction,9.334780224268095e-05,16,294
ECM-receptor interaction,6.275362925155838e-05,3,82
Cell adhesion molecules (CAMs),2.398973239453514e-05,2,143
Endocytosis,3.514889070100948e-05,5,244
Phagosome,2.256928771327977e-05,2,152
Lysosome,0.0,0,123
Peroxisome,0.0,0,83
Autophagy - animal,2.6801029159519725e-05,2,128
Autophagy - other,0.0,0,32
Mitophagy - animal,2.638870563398865e-05,1,65
Cell cycle,1.3832789243623083e-05,1,124
Oocyte meiosis,0.0,0,125
Apoptosis,1.2612249016244576e-05,1,136
Apoptosis - multiple species,0.0,0,33
Ferroptosis,8.576329331046312e-05,2,40
Necroptosis,0.0,0,162
p53 signaling pathway,2.38231370306842e-05,1,72
Cellular senescence,4.288164665523156e-05,4,160
Focal adhesion,4.3097132316815644e-05,5,199
Adherens junction,0.0,0,72
Tight junction,2.017959842599132e-05,2,170
Gap junction,1.94916575705598e-05,1,88
Signaling pathways regulating pluripotency of stem cells,6.170021101472167e-05,5,139
Regulation of actin cytoskeleton,4.007630528526314e-05,5,214
Hematopoietic cell lineage,1.7683153259889304e-05,1,97
Complement and coagulation cascades,6.513667846364289e-05,3,79
Platelet activation,4.1498367730869255e-05,3,124
Toll-like receptor signaling pathway,3.2985882042485813e-05,2,104
NOD-like receptor signaling pathway,2.890897527318982e-05,3,178
RIG-I-like receptor signaling pathway,2.450379808870375e-05,1,70
Cytosolic DNA-sensing pathway,0.0,0,63
C-type lectin receptor signaling pathway,1.6492941021242907e-05,1,104
Natural killer cell mediated cytotoxicity,2.5600983077750185e-05,2,134
Antigen processing and presentation,2.227618008063977e-05,1,77
T cell receptor signaling pathway,1.698283035850755e-05,1,101
Th1 and Th2 cell differentiation,3.728838839585353e-05,2,92
Th17 cell differentiation,1.6030522114105257e-05,1,107
IL-17 signaling pathway,3.688743798299489e-05,2,93
B cell receptor signaling pathway,2.4158674171961443e-05,1,71
Fc epsilon RI signaling pathway,2.522449803248915e-05,1,68
Fc gamma R-mediated phagocytosis,5.654722635854712e-05,3,91
Leukocyte transendothelial migration,4.594462141631953e-05,3,112
Intestinal immune network for IgA production,0.00010720411663807891,3,48
Chemokine signaling pathway,3.611086034124763e-05,4,190
Insulin secretion,3.9889903865331685e-05,2,86
Insulin signaling pathway,3.7560566413341515e-05,3,137
Glucagon signaling pathway,1.6653066662225847e-05,1,103
Regulation of lipolysis in adipocytes,3.118665211289568e-05,1,55
Adipocytokine signaling pathway,0.0,0,69
PPAR signaling pathway,0.0,0,74
GnRH signaling pathway,0.0,0,93
Ovarian steroidogenesis,0.0,0,49
Estrogen signaling pathway,6.214731399308922e-05,5,138
Progesterone-mediated oocyte maturation,1.73259178404976e-05,1,99
Prolactin signaling pathway,9.8015192354815e-05,4,70
Oxytocin signaling pathway,3.363266404331887e-05,3,153
Relaxin signaling pathway,1.3194352816994325e-05,1,130
Thyroid hormone synthesis,6.9537805386862e-05,3,74
Thyroid hormone signaling pathway,0.00010350742296090377,7,116
Parathyroid hormone synthesis,6.472701381921745e-05,4,106
Melanogenesis,3.39656607170151e-05,2,101
Renin secretion,2.4858925597235686e-05,1,69
Renin-angiotensin system,0.0,0,23
Aldosterone synthesis and secretion,3.5005425841005356e-05,2,98
Cortisol synthesis and secretion,2.638870563398865e-05,1,65
Cardiac muscle contraction,6.597176408497164e-05,3,78
Adrenergic signaling in cardiomyocytes,4.731767906784172e-05,4,145
Vascular smooth muscle contraction,3.89833151411196e-05,3,132
Salivary secretion,3.811701924909472e-05,2,90
Gastric acid secretion,2.2870211549456832e-05,1,75
Pancreatic secretion,1.7502712920502678e-05,1,98
Bile secretion,4.76462740613684e-05,2,72
Carbohydrate digestion and absorption,0.00011694994542335882,3,44
Protein digestion and absorption,5.7175528873642086e-05,3,90
Fat digestion and absorption,4.1835752834372257e-05,1,41
Cholesterol metabolism,0.0,0,50
Vitamin digestion and absorption,0.0,0,24
Mineral absorption,6.726532808663775e-05,2,51
Vasopressin-regulated water reabsorption,0.0,0,44
Aldosterone-regulated sodium reabsorption,0.000139075610773724,3,37
Endocrine and other factor-regulated calcium reabsorption,0.00010720411663807891,3,48
Proximal tubule bicarbonate reclamation,7.457677679170706e-05,1,23
Collecting duct acid secretion,0.0,0,27
Glutamatergic synapse,6.018476723541272e-05,4,114
GABAergic synapse,7.709060072850617e-05,4,89
Cholinergic synapse,7.657436902719922e-05,5,112
Dopaminergic synapse,2.618726513296584e-05,2,131
Serotonergic synapse,4.513857542655954e-05,3,114
Long-term potentiation,2.5600983077750185e-05,1,67
Long-term depression,5.717552887364208e-05,2,60
Retrograde endocannabinoid signaling,3.4768902693431e-05,3,148
Synaptic vesicle cycle,4.3981176056647754e-05,2,78
Neurotrophin signaling pathway,1.4413998875708088e-05,1,119
Phototransduction,0.0,0,28
Olfactory transduction,9.250872087420742e-05,24,445
Taste transduction,0.00014466097666825104,7,83
Inflammatory mediator regulation of TRP channels,6.86106346483705e-05,4,100
Axon guidance,5.685964197378771e-05,6,181
Osteoclast differentiation,2.6801029159519725e-05,2,128
Longevity regulating pathway,7.709060072850617e-05,4,89
Longevity regulating pathway - multiple species,8.299673546173851e-05,3,62
Circadian rhythm,0.0,0,31
Circadian entrainment,7.073261303955721e-05,4,97
Thermogenesis,2.2276180080639773e-05,3,231
Pathways in cancer,5.501796174633484e-05,17,530
Central carbon metabolism in cancer,2.638870563398865e-05,1,65
Choline metabolism in cancer,5.19777535214928e-05,3,99
Transcriptional misregulation in cancer,6.455301647024105e-05,7,186
MicroRNAs in cancer,2.8683375689118103e-05,5,299
Proteoglycans in cancer,5.120196615550038e-05,6,201
Chemical carcinogenesis,0.0,0,82
Viral carcinogenesis,8.533661025916729e-06,1,201
Colorectal cancer,3.9889903865331685e-05,2,86
Pancreatic cancer,6.86106346483705e-05,3,75
Hepatocellular carcinoma,7.14694110920526e-05,7,168
Gastric cancer,6.907110870641326e-05,6,149
Glioma,6.86106346483705e-05,3,75
Thyroid cancer,0.0,0,37
Acute myeloid leukemia,7.79666302822392e-05,3,66
Chronic myeloid leukemia,6.770786313983931e-05,3,76
Basal cell carcinoma,5.445288464156389e-05,2,63
Melanoma,9.52925481227368e-05,4,72
Renal cell carcinoma,4.971785119447137e-05,2,69
Bladder cancer,8.367150566874451e-05,2,41
Prostate cancer,7.073261303955721e-05,4,97
Endometrial cancer,2.9573549417401077e-05,1,58
Breast cancer,0.00010501627752301607,9,147
Small cell lung cancer,5.533115697449234e-05,3,93
Non-small cell lung cancer,7.79666302822392e-05,3,66
Asthma,5.5331156974492333e-05,1,31
Systemic lupus erythematosus,0.0,0,133
Rheumatoid arthritis,3.769815090569808e-05,2,91
Autoimmune thyroid disease,3.2363506909608725e-05,1,53
Inflammatory bowel disease (IBD),5.27774112679773e-05,2,65
Allograft rejection,0.0,0,38
Graft-versus-host disease,0.0,0,41
Primary immunodeficiency,4.635853692457466e-05,1,37
Alzheimer disease,1.0030794539235453e-05,1,171
Parkinson disease,0.0,0,142
Amyotrophic lateral sclerosis (ALS),3.363266404331887e-05,1,51
Huntington disease,0.0,0,193
Prion diseases,0.0,0,35
Cocaine addiction,7.001085168201071e-05,2,49
Amphetamine addiction,5.04489960649783e-05,2,68
Morphine addiction,5.654722635854712e-05,3,91
Nicotine addiction,0.0002144082332761578,5,40
Alcoholism,1.905850962454736e-05,2,180
Fluid shear stress and atherosclerosis,2.468008440588867e-05,2,139
Hypertrophic cardiomyopathy (HCM),4.035919685198264e-05,2,85
Arrhythmogenic right ventricular cardiomyopathy (ARVC),4.76462740613684e-05,2,72
Dilated cardiomyopathy (DCM),3.769815090569808e-05,2,91
Viral myocarditis,2.9072302817106143e-05,1,59
Type II diabetes mellitus,0.00014915355358341412,4,46
Type I diabetes mellitus,0.0,0,43
Maturity onset diabetes of the young,0.00013194352816994325,2,26
Non-alcoholic fatty liver disease (NAFLD),1.1511851451068875e-05,1,149
Insulin resistance,3.1764182707578934e-05,2,108
AGE-RAGE signaling pathway in diabetic complications,5.145797598627788e-05,3,100
Cushing syndrome,6.639738836939081e-05,6,155
Vibrio cholerae infection,0.0,0,50
Epithelial cell signaling in Helicobacter pylori infection,0.0,0,68
Pathogenic Escherichia coli infection,3.118665211289568e-05,1,55
Salmonella infection,1.9944951932665843e-05,1,86
Shigellosis,0.0,0,65
Pertussis,2.256928771327977e-05,1,76
Legionellosis,9.355995633868705e-05,3,55
Staphylococcus aureus infection,5.04489960649783e-05,2,68
Tuberculosis,1.9164981745354887e-05,2,179
Bacterial invasion of epithelial cells,2.317926846228733e-05,1,74
Human T-cell leukemia virus 1 infection,4.699358537559624e-05,6,219
Human immunodeficiency virus 1 infection,1.6181753454804363e-05,2,212
Measles,3.89833151411196e-05,3,132
Influenza A,3.009238361770636e-05,3,171
Hepatitis B,2.1046206947352912e-05,2,163
Hepatitis C,3.319869418469541e-05,3,155
Herpes simplex infection,1.8543414769829863e-05,2,185
Human cytomegalovirus infection,4.574042309891367e-05,6,225
Kaposi sarcoma-associated herpesvirus infection,2.766557848724617e-05,3,186
Epstein-Barr virus infection,3.4134644103666916e-05,4,201
Human papillomavirus infection,5.717552887364208e-05,11,330
Amoebiasis,7.14694110920526e-05,4,96
Malaria,7.001085168201071e-05,2,49
Toxoplasmosis,6.071737579501814e-05,4,113
Leishmaniasis,4.635853692457466e-05,2,74
Chagas disease (American trypanosomiasis),1.6653066662225847e-05,1,103
African trypanosomiasis,9.271707384914932e-05,2,37
EGFR tyrosine kinase inhibitor resistance,6.513667846364289e-05,3,79
Platinum drug resistance,4.699358537559623e-05,2,73
Antifolate resistance,0.0,0,31
Endocrine resistance,7.073261303955721e-05,4,97
Protein kinases,4.2635671626616465e-05,13,523
Protein phosphatases and associated proteins,4.8793120920613595e-05,13,457
Peptidases,6.86106346483705e-05,22,550
Glycosyltransferases,3.828718451359961e-05,5,224
Lipid biosynthesis proteins,2.0917876417186128e-05,1,82
Prenyltransferases,0.0,0,15
Amino acid related enzymes,2.9573549417401077e-05,1,58
Cytochrome P450,0.0,0,60
Transcription factors,0.00010107816711590297,66,1120
Transcription machinery,4.200651100920643e-05,6,245
Messenger RNA biogenesis,2.7226442320781944e-05,7,441
Ribosome biogenesis,1.429388221841052e-05,2,240
Transfer RNA biogenesis,1.0523103473676456e-05,1,163
Translation factors,0.0,0,92
Chaperones and folding catalysts,3.0905691283049774e-05,4,222
Membrane trafficking,4.102280098557279e-05,32,1338
Ubiquitin system,5.602627201186033e-05,26,796
DNA replication proteins,8.505450576244277e-05,6,121
Chromosome and associated proteins,3.255897243882983e-05,22,1159
DNA repair and recombination proteins,4.301607187985611e-05,8,319
Mitochondrial biogenesis,9.373037520269194e-06,2,366
Transporters,6.696233111327451e-05,26,666
Secretion system,0.0,0,16
Bacterial toxins,0.0,0,6
Cytoskeleton proteins,4.0518091327777854e-05,12,508
Exosome,2.6570383469678765e-05,18,1162
Prokaryotic defense system,0.0,0,3
G protein-coupled receptors,9.060986762530502e-05,43,814
Cytokine receptors,0.00013783386424895858,9,112
Pattern recognition receptors,0.0001429388221841052,5,60
Nuclear receptors,7.14694110920526e-05,2,48
Ion channels,0.00016046035522602778,29,310
GTP-binding proteins,8.933676386506575e-06,1,192
Cytokines and growth factors,7.961149590000795e-05,11,237
Cell adhesion molecules,6.253573470554602e-05,7,192
CD molecules,5.445288464156389e-05,14,441
Proteoglycans,3.2363506909608725e-05,1,53
Glycosaminoglycan binding proteins,6.86106346483705e-05,8,200
Glycosylphosphatidylinositol (GPI)-anchored proteins,2.017959842599132e-05,1,85
Lectins,7.567349409746747e-05,6,136
Non-coding RNAs,0.0,0,314
Enzymes with EC numbers,1.5246807699637888e-05,2,225
Energy metabolism,0.0,0,2
Lipid metabolism,0.0,0,11
Nucleotide metabolism,0.0,0,1
Amino acid metabolism,0.0,0,4
Cofactor metabolism,0.0,0,5
Others,0.0001559332605644784,1,11
Transcription,0.00012705673083031574,2,27
Translation,0.0,0,8
Protein processing,0.0,0,1
Replication and repair,0.0,0,2
Transport,0.0,0,2
Cell motility,0.0,0,16
Signaling proteins,5.1664634524375376e-05,5,166
Structural proteins,2.1176121805052622e-05,1,81
General function prediction only,0.00012251899044351874,1,14
