Pathway,Ratio,Hits,Total
Infectious diseases: Viral,6.129904412618213e-05,94,946
Infectious diseases: Parasitic,8.122923989189925e-05,37,281
Drug resistance: Antineoplastic,5.02455051208544e-05,18,221
Protein families: metabolism,5.256977529271231e-05,166,1948
Protein families: genetic information processing,4.521547517704593e-05,463,6317
Protein families: signaling and cellular processes,5.405565057090012e-05,388,4428
RNA family,0.0,0,314
Unclassified: metabolism,5.4287476866132015e-05,22,250
Unclassified: genetic information processing,0.00010281719103434094,7,42
Unclassified: signaling and cellular processes,5.5878908170837465e-05,25,276
Glycolysis / Gluconeogenesis,8.940625307333994e-06,1,69
Citrate cycle (TCA cycle),0.0,0,31
Pentose phosphate pathway,6.169031462060457e-05,3,30
Pentose and glucuronate interconversions,1.8144210182530754e-05,1,34
Fructose and mannose metabolism,1.8694034733516537e-05,1,33
Galactose metabolism,1.9900101490517602e-05,1,31
Ascorbate and aldarate metabolism,0.0,0,27
Starch and sucrose metabolism,0.0,0,36
Amino sugar and nucleotide sugar metabolism,5.1408595517170475e-05,4,48
Pyruvate metabolism,1.5422578655151142e-05,1,40
Glyoxylate and dicarboxylate metabolism,6.169031462060457e-05,3,30
Propanoate metabolism,5.783466995681678e-05,3,32
Butanoate metabolism,6.609676566493346e-05,3,28
C5-Branched dibasic acid metabolism,0.0,0,1
Inositol phosphate metabolism,6.66922320222752e-05,8,74
Oxidative phosphorylation,9.276739040692415e-06,2,133
Nitrogen metabolism,0.00010886526109518452,3,17
Sulfur metabolism,0.0,0,9
Fatty acid biosynthesis,0.0,0,13
Fatty acid elongation,6.169031462060457e-05,3,30
Fatty acid degradation,2.8041052100274803e-05,2,44
Synthesis and degradation of ketone bodies,6.169031462060457e-05,1,10
Cutin,0.0,0,2
Steroid biosynthesis,9.740575992727037e-05,3,19
Primary bile acid biosynthesis,7.257684073012302e-05,2,17
Steroid hormone biosynthesis,2.0563438206868188e-05,2,60
Glycerolipid metabolism,5.0565831656233254e-05,5,61
Glycerophospholipid metabolism,7.631791499456234e-05,12,97
Ether lipid metabolism,6.56279942772389e-05,5,47
Sphingolipid metabolism,5.250239542179112e-05,4,47
Arachidonic acid metabolism,4.8960567159209976e-05,5,63
Linoleic acid metabolism,8.509008913186836e-05,4,29
alpha-Linolenic acid metabolism,9.870450339296731e-05,4,25
Biosynthesis of unsaturated fatty acids,2.2848264674297987e-05,1,27
Purine metabolism,3.3217861718787076e-05,7,130
Pyrimidine metabolism,3.2468586642423456e-05,3,57
Alanine,0.00010575482506389354,6,35
Glycine,1.5422578655151142e-05,1,40
Cysteine and methionine metabolism,1.312559885544778e-05,1,47
Valine,0.0,0,4
Lysine biosynthesis,0.0,0,1
Lysine degradation,4.182394211566411e-05,4,59
Arginine biosynthesis,5.875268059105197e-05,2,21
Arginine and proline metabolism,0.0,0,50
Histidine metabolism,0.0,0,23
Tyrosine metabolism,1.713619850572349e-05,1,36
Phenylalanine metabolism,3.628842036506151e-05,1,17
Tryptophan metabolism,6.169031462060457e-05,4,40
Phenylalanine,0.00012338062924120913,1,5
beta-Alanine metabolism,7.960040596207041e-05,4,31
Taurine and hypotaurine metabolism,5.6082104200549606e-05,1,11
Phosphonate and phosphinate metabolism,0.00010281719103434095,1,6
Selenocompound metabolism,0.0,0,17
D-Glutamine and D-glutamate metabolism,0.0,0,5
D-Arginine and D-ornithine metabolism,0.0,0,1
Glutathione metabolism,2.203225522164449e-05,2,56
N-Glycan biosynthesis,2.5179720253307988e-05,2,49
Mucin type O-glycan biosynthesis,1.9900101490517602e-05,1,31
Mannose type O-glycan biosynthesis,5.364375184400397e-05,2,23
Other types of O-glycan biosynthesis,0.00011216420840109921,4,22
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,6.169031462060457e-05,2,20
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,2.5704297758585237e-05,1,24
Glycosaminoglycan biosynthesis - keratan sulfate,0.00013219353132986692,3,14
Glycosaminoglycan degradation,9.740575992727037e-05,3,19
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,4.9352251696483653e-05,2,25
Glycosphingolipid biosynthesis - lacto and neolacto series,6.854479402289396e-05,3,27
Glycosphingolipid biosynthesis - globo and isoglobo series,8.225375282747275e-05,2,15
Glycosphingolipid biosynthesis - ganglio series,4.1126876413736376e-05,1,15
Other glycan degradation,0.00013708958804578791,4,18
Thiamine metabolism,3.8556446637877854e-05,1,16
Riboflavin metabolism,7.711289327575571e-05,1,8
Vitamin B6 metabolism,0.0,0,6
Nicotinate and nicotinamide metabolism,4.1126876413736376e-05,2,30
Pantothenate and CoA biosynthesis,3.2468586642423456e-05,1,19
Biotin metabolism,0.0,0,3
Lipoic acid metabolism,0.0,0,3
Folate biosynthesis,2.372704408484791e-05,1,26
One carbon pool by folate,3.0845157310302283e-05,1,20
Retinol metabolism,0.0,0,67
Porphyrin and chlorophyll metabolism,1.4688170147762993e-05,1,42
Ubiquinone and other terpenoid-quinone biosynthesis,0.0,0,11
Terpenoid backbone biosynthesis,0.0,0,22
Biosynthesis of ansamycins,0.0,0,3
Polyketide sugar unit biosynthesis,0.0,0,1
Biosynthesis of vancomycin group antibiotics,0.0,0,1
Caffeine metabolism,0.0,0,5
Penicillin and cephalosporin biosynthesis,0.0,0,1
Monobactam biosynthesis,0.0,0,2
Neomycin,0.0,0,5
Acarbose and validamycin biosynthesis,0.0,0,1
Prodigiosin biosynthesis,0.0,0,1
Aflatoxin biosynthesis,0.0,0,2
Metabolism of xenobiotics by cytochrome P450,8.225375282747276e-06,1,75
Drug metabolism - cytochrome P450,8.688776707127404e-06,1,71
Drug metabolism - other enzymes,1.5617801169773308e-05,2,79
Global maps only,0.0,0,1
RNA polymerase,1.9900101490517602e-05,1,31
Basal transcription factors,5.483583521831517e-05,4,45
Spliceosome,2.5847897187404148e-05,15,358
Ribosome,1.9793683835488095e-05,6,187
Aminoacyl-tRNA biosynthesis,1.8694034733516537e-05,2,66
RNA transport,2.617164862692315e-05,7,165
mRNA surveillance pathway,3.389577726406844e-05,5,91
Ribosome biogenesis in eukaryotes,4.192545653827495e-05,7,103
Protein export,2.6821875922001987e-05,1,23
Protein processing in endoplasmic reticulum,5.9820911147252916e-05,16,165
SNARE interactions in vesicular transport,5.443263054759226e-05,3,34
Ubiquitin mediated proteolysis,4.953236940340512e-05,11,137
Sulfur relay system,0.0,0,8
Proteasome,6.580300226197821e-05,8,75
RNA degradation,2.3426701754659962e-05,3,79
DNA replication,8.568099252861746e-05,5,36
Base excision repair,5.6082104200549606e-05,3,33
Nucleotide excision repair,1.312559885544778e-05,1,47
Mismatch repair,2.6821875922001987e-05,1,23
Homologous recombination,4.513925460044236e-05,3,41
Non-homologous end-joining,0.0,0,13
Fanconi anemia pathway,4.5696529348595974e-05,4,54
ABC transporters,5.483583521831517e-05,4,45
Ras signaling pathway,4.786317513667596e-05,18,232
Rap1 signaling pathway,5.0909482939333865e-05,17,206
MAPK signaling pathway,3.973274500988091e-05,19,295
ErbB signaling pathway,2.9030736292049206e-05,4,85
Wnt signaling pathway,5.8566754386649904e-05,15,158
Notch signaling pathway,6.426074439646309e-05,5,48
Hedgehog signaling pathway,5.250239542179112e-05,4,47
TGF-beta signaling pathway,6.169031462060457e-05,9,90
Hippo signaling pathway,4.005864585753544e-05,10,154
Hippo signaling pathway - multiple species,0.0,0,29
VEGF signaling pathway,7.31918987024122e-05,7,59
Apelin signaling pathway,5.853825474947878e-05,13,137
Jak-STAT signaling pathway,0.00010281719103434094,27,162
NF-kappa B signaling pathway,8.441832527030099e-05,13,95
TNF signaling pathway,7.290673546071449e-05,13,110
HIF-1 signaling pathway,3.701418877236274e-05,6,100
FoxO signaling pathway,5.6082104200549606e-05,12,132
Calcium signaling pathway,5.906519484951501e-05,18,188
Phosphatidylinositol signaling system,6.231344911172178e-05,10,99
Phospholipase D signaling pathway,4.1682645013922006e-05,10,148
Sphingolipid signaling pathway,3.1104360312909865e-05,6,119
cAMP signaling pathway,4.946864851652253e-05,17,212
cGMP-PKG signaling pathway,6.689311223920977e-05,18,166
PI3K-Akt signaling pathway,6.273591317349617e-05,36,354
AMPK signaling pathway,4.6267735965453425e-05,9,120
mTOR signaling pathway,4.032046707229057e-05,10,153
Neuroactive ligand-receptor interaction,4.9279245406991813e-05,27,338
Cytokine-cytokine receptor interaction,0.00011960367120321292,57,294
ECM-receptor interaction,0.00012037134560117965,16,82
Cell adhesion molecules (CAMs),8.628016030853785e-05,20,143
Endocytosis,5.815070640466824e-05,23,244
Phagosome,3.652715997272639e-05,9,152
Lysosome,9.027850920088474e-05,18,123
Peroxisome,4.4595408159473175e-05,6,83
Autophagy - animal,6.747378161628624e-05,14,128
Autophagy - other,5.783466995681678e-05,3,32
Mitophagy - animal,8.541735870545248e-05,9,65
Cell cycle,5.97003044715528e-05,12,124
Oocyte meiosis,5.922270203578038e-05,12,125
Apoptosis,4.08244729106942e-05,9,136
Apoptosis - multiple species,0.00011216420840109921,6,33
Ferroptosis,3.0845157310302283e-05,2,40
Necroptosis,6.092870579812797e-05,16,162
p53 signaling pathway,6.854479402289396e-05,8,72
Cellular senescence,4.2412091301665636e-05,11,160
Focal adhesion,6.510033201169325e-05,21,199
Adherens junction,4.284049626430873e-05,5,72
Tight junction,5.806147258409841e-05,16,170
Gap junction,2.1030789075206102e-05,3,88
Signaling pathways regulating pluripotency of stem cells,4.88196734407662e-05,11,139
Regulation of actin cytoskeleton,4.612359971633986e-05,16,214
Hematopoietic cell lineage,0.0001526358299891247,24,97
Complement and coagulation cascades,0.0001561780116977331,20,79
Platelet activation,8.955045670732922e-05,18,124
Toll-like receptor signaling pathway,8.304465429696768e-05,14,104
NOD-like receptor signaling pathway,6.584921223547679e-05,19,178
RIG-I-like receptor signaling pathway,5.287741253194677e-05,6,70
Cytosolic DNA-sensing pathway,3.916845372736798e-05,4,63
C-type lectin receptor signaling pathway,5.3385849190907796e-05,9,104
Natural killer cell mediated cytotoxicity,6.445256751406447e-05,14,134
Antigen processing and presentation,2.4035187514521257e-05,3,77
T cell receptor signaling pathway,0.00010994313496741408,18,101
Th1 and Th2 cell differentiation,0.00013410937961000994,20,92
Th17 cell differentiation,0.0001326053491844771,23,107
IL-17 signaling pathway,7.296703879856453e-05,11,93
B cell receptor signaling pathway,9.557654377840144e-05,11,71
Fc epsilon RI signaling pathway,6.350473563885764e-05,7,68
Fc gamma R-mediated phagocytosis,3.389577726406844e-05,5,91
Leukocyte transendothelial migration,6.609676566493346e-05,12,112
Intestinal immune network for IgA production,0.00015422578655151142,12,48
Chemokine signaling pathway,4.545602129939284e-05,14,190
Insulin secretion,5.021304678421302e-05,7,86
Insulin signaling pathway,4.052648405733147e-05,9,137
Glucagon signaling pathway,2.994675467019639e-05,5,103
Regulation of lipolysis in adipocytes,4.4865683360439685e-05,4,55
Adipocytokine signaling pathway,5.3643751844003966e-05,6,69
PPAR signaling pathway,1.66730580055688e-05,2,74
GnRH signaling pathway,4.643357014454107e-05,7,93
Ovarian steroidogenesis,3.7769580379961975e-05,3,49
Estrogen signaling pathway,4.470312653666998e-05,10,138
Progesterone-mediated oocyte maturation,4.361941437820525e-05,7,99
Prolactin signaling pathway,3.525160835463118e-05,4,70
Oxytocin signaling pathway,4.032046707229057e-05,10,153
Relaxin signaling pathway,6.169031462060457e-05,13,130
Thyroid hormone synthesis,4.1682645013922006e-05,5,74
Thyroid hormone signaling pathway,5.318130570741773e-05,10,116
Parathyroid hormone synthesis,3.491904601166296e-05,6,106
Melanogenesis,4.886361554107292e-05,8,101
Renin secretion,8.940625307333996e-05,10,69
Renin-angiotensin system,0.00010728750368800795,4,23
Aldosterone synthesis and secretion,3.1474650316634985e-05,5,98
Cortisol synthesis and secretion,2.847245290181749e-05,3,65
Cardiac muscle contraction,3.163605877979721e-05,4,78
Adrenergic signaling in cardiomyocytes,4.67995490225276e-05,11,145
Vascular smooth muscle contraction,6.075561288392874e-05,13,132
Salivary secretion,5.483583521831517e-05,8,90
Gastric acid secretion,4.9352251696483653e-05,6,75
Pancreatic secretion,9.442395094990495e-05,15,98
Bile secretion,5.997669477003222e-05,7,72
Carbohydrate digestion and absorption,2.8041052100274803e-05,2,44
Protein digestion and absorption,0.00010967167043663034,16,90
Fat digestion and absorption,3.0092836400294912e-05,2,41
Cholesterol metabolism,3.701418877236274e-05,3,50
Vitamin digestion and absorption,0.00010281719103434095,4,24
Mineral absorption,3.628842036506151e-05,3,51
Vasopressin-regulated water reabsorption,5.6082104200549606e-05,4,44
Aldosterone-regulated sodium reabsorption,1.66730580055688e-05,1,37
Endocrine and other factor-regulated calcium reabsorption,6.426074439646309e-05,5,48
Proximal tubule bicarbonate reclamation,5.364375184400397e-05,2,23
Collecting duct acid secretion,0.0,0,27
Glutamatergic synapse,3.2468586642423456e-05,6,114
GABAergic synapse,4.852047217350921e-05,7,89
Cholinergic synapse,2.203225522164449e-05,4,112
Dopaminergic synapse,3.767347457746844e-05,8,131
Serotonergic synapse,1.6234293321211728e-05,3,114
Long-term potentiation,2.762252893459906e-05,3,67
Long-term depression,2.0563438206868188e-05,2,60
Retrograde endocannabinoid signaling,4.1682645013922006e-05,10,148
Synaptic vesicle cycle,3.163605877979721e-05,4,78
Neurotrophin signaling pathway,4.147248041721315e-05,8,119
Phototransduction,0.0,0,28
Olfactory transduction,1.5249291254531465e-05,11,445
Taste transduction,2.2297704079736588e-05,3,83
Inflammatory mediator regulation of TRP channels,4.31832202344232e-05,7,100
Axon guidance,4.771626545240132e-05,14,181
Osteoclast differentiation,8.193244910549044e-05,17,128
Longevity regulating pathway,4.852047217350921e-05,7,89
Longevity regulating pathway - multiple species,5.97003044715528e-05,6,62
Circadian rhythm,7.960040596207041e-05,4,31
Circadian entrainment,2.543930499818745e-05,4,97
Thermogenesis,2.937634029552598e-05,11,231
Pathways in cancer,5.470650541827197e-05,47,530
Central carbon metabolism in cancer,9.490817633939164e-06,1,65
Choline metabolism in cancer,4.985075928937743e-05,8,99
Transcriptional misregulation in cancer,5.638362088979987e-05,17,186
MicroRNAs in cancer,1.4442548573385685e-05,7,299
Proteoglycans in cancer,6.138339763244236e-05,20,201
Chemical carcinogenesis,7.523209100073728e-06,1,82
Viral carcinogenesis,3.069169881622118e-05,10,201
Colorectal cancer,3.586646198872359e-05,5,86
Pancreatic cancer,3.2901501130989105e-05,4,75
Hepatocellular carcinoma,5.140859551717047e-05,14,168
Gastric cancer,4.9683474862231864e-05,12,149
Glioma,2.4676125848241827e-05,3,75
Thyroid cancer,5.00191740167064e-05,3,37
Acute myeloid leukemia,4.673508683379134e-05,5,66
Chronic myeloid leukemia,2.4351439981817592e-05,3,76
Basal cell carcinoma,6.854479402289396e-05,7,63
Melanoma,4.284049626430873e-05,5,72
Renal cell carcinoma,1.788125061466799e-05,2,69
Bladder cancer,0.0001354177638013271,9,41
Prostate cancer,3.179913124773431e-05,5,97
Endometrial cancer,4.254504456593418e-05,4,58
Breast cancer,3.776958037996198e-05,9,147
Small cell lung cancer,2.6533468654023468e-05,4,93
Non-small cell lung cancer,3.738806946703307e-05,4,66
Asthma,7.960040596207041e-05,4,31
Systemic lupus erythematosus,3.710695616276966e-05,8,133
Rheumatoid arthritis,6.779155452813688e-05,10,91
Autoimmune thyroid disease,4.655872801555062e-05,4,53
Inflammatory bowel disease (IBD),0.00011388981160726996,12,65
Allograft rejection,0.0001136400532484821,7,38
Graft-versus-host disease,4.513925460044236e-05,3,41
Primary immunodeficiency,0.0001834036380612568,11,37
Alzheimer disease,2.8860965904376405e-05,8,171
Parkinson disease,2.172194176781851e-05,5,142
Amyotrophic lateral sclerosis (ALS),6.048070060843585e-05,5,51
Huntington disease,1.9178336151483285e-05,6,193
Prion diseases,8.812902088657796e-05,5,35
Cocaine addiction,2.5179720253307988e-05,2,49
Amphetamine addiction,3.628842036506151e-05,4,68
Morphine addiction,3.389577726406844e-05,5,91
Nicotine addiction,3.0845157310302283e-05,2,40
Alcoholism,2.0563438206868188e-05,6,180
Fluid shear stress and atherosclerosis,7.101043409565993e-05,16,139
Hypertrophic cardiomyopathy (HCM),5.080378851108611e-05,7,85
Arrhythmogenic right ventricular cardiomyopathy (ARVC),5.997669477003222e-05,7,72
Dilated cardiomyopathy (DCM),4.745408816969582e-05,7,91
Viral myocarditis,6.273591317349617e-05,6,59
Type II diabetes mellitus,2.6821875922001987e-05,2,46
Type I diabetes mellitus,7.173292397744718e-05,5,43
Maturity onset diabetes of the young,0.0,0,26
Non-alcoholic fatty liver disease (NAFLD),4.9683474862231864e-05,12,149
Insulin resistance,5.712066168574497e-05,10,108
AGE-RAGE signaling pathway in diabetic complications,8.019740900678594e-05,13,100
Cushing syndrome,4.776024357724224e-05,12,155
Vibrio cholerae infection,7.402837754472548e-05,6,50
Epithelial cell signaling in Helicobacter pylori infection,4.5360525456326887e-05,5,68
Pathogenic Escherichia coli infection,5.6082104200549606e-05,5,55
Salmonella infection,9.325280117068132e-05,13,86
Shigellosis,5.694490580363498e-05,6,65
Pertussis,7.305431994545278e-05,9,76
Legionellosis,7.851494588076945e-05,7,55
Staphylococcus aureus infection,8.16489458213884e-05,9,68
Tuberculosis,6.548133954142385e-05,19,179
Bacterial invasion of epithelial cells,7.502876102505961e-05,9,74
Human T-cell leukemia virus 1 infection,8.169037095879143e-05,29,219
Human immunodeficiency virus 1 infection,4.655872801555062e-05,16,212
Measles,8.412315630082441e-05,18,132
Influenza A,6.493717328484691e-05,18,171
Hepatitis B,3.784681878564697e-05,10,163
Hepatitis C,5.1740263875345764e-05,13,155
Herpes simplex infection,5.668839721893393e-05,17,185
Human cytomegalovirus infection,4.386866817465214e-05,16,225
Kaposi sarcoma-associated herpesvirus infection,6.301698805330574e-05,19,186
Epstein-Barr virus infection,4.603754822433177e-05,15,201
Human papillomavirus infection,5.6082104200549606e-05,30,330
Amoebiasis,8.996504215504833e-05,14,96
Malaria,0.00013848846139319392,11,49
Toxoplasmosis,6.551183853515528e-05,12,113
Leishmaniasis,5.00191740167064e-05,6,74
Chagas disease (American trypanosomiasis),7.187221120847133e-05,12,103
African trypanosomiasis,0.0001333844640445504,8,37
EGFR tyrosine kinase inhibitor resistance,3.9044502924433274e-05,5,79
Platinum drug resistance,3.380291212087921e-05,4,73
Antifolate resistance,1.9900101490517602e-05,1,31
Endocrine resistance,7.631791499456234e-05,12,97
Protein kinases,5.4259167735139766e-05,46,523
Protein phosphatases and associated proteins,5.6695693962043576e-05,42,457
Peptidases,5.7203746284560605e-05,51,550
Glycosyltransferases,4.95725742487001e-05,18,224
Lipid biosynthesis proteins,3.761604550036864e-05,5,82
Prenyltransferases,0.0,0,15
Amino acid related enzymes,4.254504456593418e-05,4,58
Cytochrome P450,2.0563438206868188e-05,2,60
Transcription factors,3.194677007138451e-05,58,1120
Transcription machinery,4.5323496455954376e-05,18,245
Messenger RNA biogenesis,3.7769580379961975e-05,27,441
Ribosome biogenesis,4.3697306189594904e-05,17,240
Transfer RNA biogenesis,6.055491005703516e-05,16,163
Translation factors,6.034922082450447e-05,9,92
Chaperones and folding catalysts,3.33461160111376e-05,12,222
Membrane trafficking,5.5788700067960784e-05,121,1338
Ubiquitin system,4.340022134112884e-05,56,796
DNA replication proteins,6.118047730969048e-05,12,121
Chromosome and associated proteins,5.1630375480575e-05,97,1159
DNA repair and recombination proteins,4.4478910228022095e-05,23,319
Mitochondrial biogenesis,2.865397127186551e-05,17,366
Transporters,5.83557030194908e-05,63,666
Secretion system,3.8556446637877854e-05,1,16
Bacterial toxins,0.00010281719103434095,1,6
Cytoskeleton proteins,4.736067461030666e-05,39,508
Exosome,3.9286430997631135e-05,74,1162
Prokaryotic defense system,0.0,0,3
G protein-coupled receptors,3.63775811030592e-05,48,814
Cytokine receptors,0.00014871772274610028,27,112
Pattern recognition receptors,0.00011309891013777503,11,60
Nuclear receptors,2.5704297758585237e-05,2,48
Ion channels,4.9750253726294006e-05,25,310
GTP-binding proteins,3.2130372198231544e-05,10,192
Cytokines and growth factors,8.32949395721243e-05,32,237
Cell adhesion molecules,6.104770717663993e-05,19,192
CD molecules,0.00011190986779247994,80,441
Proteoglycans,6.983809202332592e-05,6,53
Glycosaminoglycan binding proteins,0.00010487353485502776,34,200
Glycosylphosphatidylinositol (GPI)-anchored proteins,5.080378851108611e-05,7,85
Lectins,8.61849983670211e-05,19,136
Non-coding RNAs,0.0,0,314
Enzymes with EC numbers,5.2094043457399415e-05,19,225
Energy metabolism,0.00030845157310302283,1,2
Lipid metabolism,0.0,0,11
Nucleotide metabolism,0.0,0,1
Amino acid metabolism,0.00015422578655151142,1,4
Cofactor metabolism,0.00012338062924120913,1,5
Others,0.0,0,11
Transcription,9.139305869719195e-05,4,27
Translation,7.711289327575571e-05,1,8
Protein processing,0.0,0,1
Replication and repair,0.0,0,2
Transport,0.0,0,2
Cell motility,0.00011566933991363356,3,16
Signaling proteins,5.946054421263091e-05,16,166
Structural proteins,4.5696529348595974e-05,6,81
General function prediction only,8.812902088657796e-05,2,14
