Pathway,Ratio,Hits,Total
Drug resistance: Antineoplastic,1.2196460587137613e-05,3,221
Protein families: metabolism,4.473913853635678e-05,97,1948
Protein families: genetic information processing,4.722065886757748e-05,332,6317
Protein families: signaling and cellular processes,5.092967970709956e-05,251,4428
RNA family,0.0,0,314
Unclassified: metabolism,5.390835579514825e-05,15,250
Unclassified: genetic information processing,2.1392204680614384e-05,1,42
Unclassified: signaling and cellular processes,7.161738088727425e-05,22,276
Glycolysis / Gluconeogenesis,2.6042683959008816e-05,2,69
Citrate cycle (TCA cycle),0.0,0,31
Pentose phosphate pathway,5.989817310572028e-05,2,30
Pentose and glucuronate interconversions,0.0,0,34
Fructose and mannose metabolism,2.7226442320781944e-05,1,33
Galactose metabolism,5.796597397327769e-05,2,31
Ascorbate and aldarate metabolism,0.0,0,27
Starch and sucrose metabolism,2.495757212738345e-05,1,36
Amino sugar and nucleotide sugar metabolism,1.8718179095537587e-05,1,48
Pyruvate metabolism,2.2461814914645103e-05,1,40
Glyoxylate and dicarboxylate metabolism,0.0,0,30
Propanoate metabolism,0.0,0,32
Butanoate metabolism,0.0,0,28
C5-Branched dibasic acid metabolism,0.0,0,1
Inositol phosphate metabolism,2.428304315096768e-05,2,74
Oxidative phosphorylation,2.7021732228144486e-05,4,133
Nitrogen metabolism,0.0,0,17
Sulfur metabolism,0.0,0,9
Fatty acid biosynthesis,0.0,0,13
Fatty acid elongation,2.994908655286014e-05,1,30
Fatty acid degradation,2.0419831740586458e-05,1,44
Synthesis and degradation of ketone bodies,0.0,0,10
Cutin,0.0,0,2
Steroid biosynthesis,9.45760627985057e-05,2,19
Primary bile acid biosynthesis,0.00015855398763278897,3,17
Steroid hormone biosynthesis,1.497454327643007e-05,1,60
Glycerolipid metabolism,7.36452948021151e-05,5,61
Glycerophospholipid metabolism,4.6313020442567224e-05,5,97
Ether lipid metabolism,5.734931467568963e-05,3,47
Sphingolipid metabolism,3.823287645045975e-05,2,47
Arachidonic acid metabolism,1.4261469787076256e-05,1,63
Linoleic acid metabolism,3.0981813675372557e-05,1,29
alpha-Linolenic acid metabolism,7.187780772686433e-05,2,25
Biosynthesis of unsaturated fatty acids,0.00016638381418255632,5,27
Purine metabolism,6.911327666044648e-05,10,130
Pyrimidine metabolism,4.728803139925285e-05,3,57
Alanine,5.1341291233474526e-05,2,35
Glycine,2.2461814914645103e-05,1,40
Cysteine and methionine metabolism,5.734931467568963e-05,3,47
Valine,0.0,0,4
Lysine biosynthesis,0.0,0,1
Lysine degradation,3.0456698189349293e-05,2,59
Arginine biosynthesis,4.278440936122877e-05,1,21
Arginine and proline metabolism,1.7969451931716083e-05,1,50
Histidine metabolism,0.0,0,23
Tyrosine metabolism,0.0,0,36
Phenylalanine metabolism,0.0,0,17
Tryptophan metabolism,2.2461814914645103e-05,1,40
Phenylalanine,0.0,0,5
beta-Alanine metabolism,0.0,0,31
Taurine and hypotaurine metabolism,0.00016335865392469166,2,11
Phosphonate and phosphinate metabolism,0.0001497454327643007,1,6
Selenocompound metabolism,0.0,0,17
D-Glutamine and D-glutamate metabolism,0.0,0,5
D-Arginine and D-ornithine metabolism,0.0,0,1
Glutathione metabolism,0.0,0,56
N-Glycan biosynthesis,1.8336175440526617e-05,1,49
Mucin type O-glycan biosynthesis,5.796597397327769e-05,2,31
Mannose type O-glycan biosynthesis,0.00011719207781553968,3,23
Other types of O-glycan biosynthesis,8.167932696234583e-05,2,22
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,8.984725965858041e-05,2,20
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,7.487271638215035e-05,2,24
Glycosaminoglycan biosynthesis - keratan sulfate,6.417661404184316e-05,1,14
Glycosaminoglycan degradation,4.728803139925285e-05,1,19
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.0,0,25
Glycosphingolipid biosynthesis - lacto and neolacto series,3.327676283651127e-05,1,27
Glycosphingolipid biosynthesis - globo and isoglobo series,0.00011979634621144055,2,15
Glycosphingolipid biosynthesis - ganglio series,0.0,0,15
Other glycan degradation,4.99151442547669e-05,1,18
Thiamine metabolism,5.615453728661276e-05,1,16
Riboflavin metabolism,0.0,0,8
Vitamin B6 metabolism,0.0,0,6
Nicotinate and nicotinamide metabolism,5.989817310572028e-05,2,30
Pantothenate and CoA biosynthesis,4.728803139925285e-05,1,19
Biotin metabolism,0.0,0,3
Lipoic acid metabolism,0.0,0,3
Folate biosynthesis,0.0,0,26
One carbon pool by folate,0.0,0,20
Retinol metabolism,1.3410038755012002e-05,1,67
Porphyrin and chlorophyll metabolism,0.0,0,42
Ubiquinone and other terpenoid-quinone biosynthesis,0.0,0,11
Terpenoid backbone biosynthesis,4.0839663481172915e-05,1,22
Biosynthesis of ansamycins,0.0,0,3
Polyketide sugar unit biosynthesis,0.0,0,1
Biosynthesis of vancomycin group antibiotics,0.0,0,1
Caffeine metabolism,0.0,0,5
Penicillin and cephalosporin biosynthesis,0.0,0,1
Monobactam biosynthesis,0.0,0,2
Neomycin,0.0,0,5
Acarbose and validamycin biosynthesis,0.0,0,1
Prodigiosin biosynthesis,0.0,0,1
Aflatoxin biosynthesis,0.0,0,2
Metabolism of xenobiotics by cytochrome P450,0.0,0,75
Drug metabolism - cytochrome P450,0.0,0,71
Drug metabolism - other enzymes,3.411921252857484e-05,3,79
Global maps only,0.0,0,1
RNA polymerase,0.00011593194794655538,4,31
Basal transcription factors,0.0,0,45
Spliceosome,3.513579986648396e-05,14,358
Ribosome,9.609332583805393e-06,2,187
Aminoacyl-tRNA biosynthesis,0.0,0,66
RNA transport,6.534346156987667e-05,12,165
mRNA surveillance pathway,5.9239951423239834e-05,6,91
Ribosome biogenesis in eukaryotes,3.489213967323511e-05,4,103
Protein export,0.0,0,23
Protein processing in endoplasmic reticulum,5.989817310572028e-05,11,165
SNARE interactions in vesicular transport,7.927699381639449e-05,3,34
Ubiquitin mediated proteolysis,3.934916481397682e-05,6,137
Sulfur relay system,0.0,0,8
Proteasome,1.1979634621144055e-05,1,75
RNA degradation,6.823842505714968e-05,6,79
DNA replication,2.495757212738345e-05,1,36
Base excision repair,8.167932696234583e-05,3,33
Nucleotide excision repair,1.9116438225229875e-05,1,47
Mismatch repair,3.906402593851322e-05,1,23
Homologous recombination,6.57418973111564e-05,3,41
Non-homologous end-joining,6.911327666044648e-05,1,13
Fanconi anemia pathway,6.655352567302254e-05,4,54
ABC transporters,7.986423080762703e-05,4,45
Ras signaling pathway,3.4854540384794124e-05,9,232
Rap1 signaling pathway,4.797669205069828e-05,11,206
MAPK signaling pathway,4.873071710295887e-05,16,295
ErbB signaling pathway,1.0570265842185932e-05,1,85
Wnt signaling pathway,2.84326771071457e-05,5,158
Notch signaling pathway,5.615453728661276e-05,3,48
Hedgehog signaling pathway,1.9116438225229875e-05,1,47
TGF-beta signaling pathway,1.9966057701906758e-05,2,90
Hippo signaling pathway,2.9171188200837797e-05,5,154
Hippo signaling pathway - multiple species,3.0981813675372557e-05,1,29
VEGF signaling pathway,3.0456698189349293e-05,2,59
Apelin signaling pathway,2.6232776542651215e-05,4,137
Jak-STAT signaling pathway,1.1092254278837088e-05,2,162
NF-kappa B signaling pathway,7.566085023880456e-05,8,95
TNF signaling pathway,6.534346156987667e-05,8,110
HIF-1 signaling pathway,3.5938903863432166e-05,4,100
FoxO signaling pathway,6.806610580195486e-06,1,132
Calcium signaling pathway,5.734931467568963e-05,12,188
Phosphatidylinositol signaling system,2.7226442320781944e-05,3,99
Phospholipase D signaling pathway,5.463684708967728e-05,9,148
Sphingolipid signaling pathway,2.2650569661826996e-05,3,119
cAMP signaling pathway,5.509501771516724e-05,13,212
cGMP-PKG signaling pathway,6.494982625921477e-05,12,166
PI3K-Akt signaling pathway,4.3146989101578165e-05,17,354
AMPK signaling pathway,2.994908655286014e-05,4,120
mTOR signaling pathway,3.5234219473953106e-05,6,153
Neuroactive ligand-receptor interaction,5.5822261918052915e-05,21,338
Cytokine-cytokine receptor interaction,4.889646784140431e-05,16,294
ECM-receptor interaction,6.57418973111564e-05,6,82
Cell adhesion molecules (CAMs),5.0264201207597437e-05,8,143
Endocytosis,3.314038266095179e-05,9,244
Phagosome,7.684305102378589e-05,13,152
Lysosome,2.191396577038547e-05,3,123
Peroxisome,5.41248552160123e-05,5,83
Autophagy - animal,4.9135220125786166e-05,7,128
Autophagy - other,2.807726864330638e-05,1,32
Mitophagy - animal,2.764531066417859e-05,2,65
Cell cycle,4.347448047995827e-05,6,124
Oocyte meiosis,4.3126684636118604e-05,6,125
Apoptosis,4.624491305956345e-05,7,136
Apoptosis - multiple species,5.445288464156389e-05,2,33
Ferroptosis,2.2461814914645103e-05,1,40
Necroptosis,5.546127139418544e-05,10,162
p53 signaling pathway,2.495757212738345e-05,2,72
Cellular senescence,4.4923629829290206e-05,8,160
Focal adhesion,4.5149376712854485e-05,10,199
Adherens junction,2.495757212738345e-05,2,72
Tight junction,4.228106336874373e-05,8,170
Gap junction,6.125949522175937e-05,6,88
Signaling pathways regulating pluripotency of stem cells,4.5246821410795895e-05,7,139
Regulation of actin cytoskeleton,5.038164093004509e-05,12,214
Hematopoietic cell lineage,6.483822861959411e-05,7,97
Complement and coagulation cascades,0.00014784992095715765,13,79
Platelet activation,5.796597397327769e-05,8,124
Toll-like receptor signaling pathway,2.5917478747667428e-05,3,104
NOD-like receptor signaling pathway,3.533319200056533e-05,7,178
RIG-I-like receptor signaling pathway,5.1341291233474526e-05,4,70
Cytosolic DNA-sensing pathway,4.278440936122877e-05,3,63
C-type lectin receptor signaling pathway,6.911327666044648e-05,8,104
Natural killer cell mediated cytotoxicity,4.693513564254201e-05,7,134
Antigen processing and presentation,2.3336950560670237e-05,2,77
T cell receptor signaling pathway,6.227037798119434e-05,7,101
Th1 and Th2 cell differentiation,2.929801945388492e-05,3,92
Th17 cell differentiation,3.358776062003006e-05,4,107
IL-17 signaling pathway,5.796597397327769e-05,6,93
B cell receptor signaling pathway,6.327271806942282e-05,5,71
Fc epsilon RI signaling pathway,6.606416151366207e-05,5,68
Fc gamma R-mediated phagocytosis,4.9366626186033196e-05,5,91
Leukocyte transendothelial migration,4.011038377615197e-05,5,112
Intestinal immune network for IgA production,7.487271638215035e-05,4,48
Chemokine signaling pathway,2.837281883955171e-05,6,190
Insulin secretion,8.357884619402829e-05,8,86
Insulin signaling pathway,3.279097067831402e-05,5,137
Glucagon signaling pathway,3.489213967323511e-05,4,103
Regulation of lipolysis in adipocytes,1.6335865392469167e-05,1,55
Adipocytokine signaling pathway,2.6042683959008816e-05,2,69
PPAR signaling pathway,4.856608630193536e-05,4,74
GnRH signaling pathway,4.830497831106474e-05,5,93
Ovarian steroidogenesis,7.334470176210647e-05,4,49
Estrogen signaling pathway,3.255335494876102e-05,5,138
Progesterone-mediated oocyte maturation,1.8150961547187962e-05,2,99
Prolactin signaling pathway,0.0,0,70
Oxytocin signaling pathway,5.872369912325518e-05,10,153
Relaxin signaling pathway,1.3822655332089295e-05,2,130
Thyroid hormone synthesis,3.6424564726451524e-05,3,74
Thyroid hormone signaling pathway,4.6472720513058835e-05,6,116
Parathyroid hormone synthesis,3.390462628625676e-05,4,106
Melanogenesis,4.447884141513882e-05,5,101
Renin secretion,5.208536791801763e-05,4,69
Renin-angiotensin system,0.00011719207781553968,3,23
Aldosterone synthesis and secretion,6.417661404184316e-05,7,98
Cortisol synthesis and secretion,5.529062132835718e-05,4,65
Cardiac muscle contraction,6.911327666044648e-05,6,78
Adrenergic signaling in cardiomyocytes,5.5767264615670606e-05,9,145
Vascular smooth muscle contraction,4.0839663481172915e-05,6,132
Salivary secretion,2.994908655286014e-05,3,90
Gastric acid secretion,3.5938903863432166e-05,3,75
Pancreatic secretion,4.584043860131654e-05,5,98
Bile secretion,7.487271638215035e-05,6,72
Carbohydrate digestion and absorption,2.0419831740586458e-05,1,44
Protein digestion and absorption,6.988120195667366e-05,7,90
Fat digestion and absorption,4.382793154077094e-05,2,41
Cholesterol metabolism,7.187780772686433e-05,4,50
Vitamin digestion and absorption,7.487271638215035e-05,2,24
Mineral absorption,3.5234219473953106e-05,2,51
Vasopressin-regulated water reabsorption,4.0839663481172915e-05,2,44
Aldosterone-regulated sodium reabsorption,4.856608630193536e-05,2,37
Endocrine and other factor-regulated calcium reabsorption,1.8718179095537587e-05,1,48
Proximal tubule bicarbonate reclamation,3.906402593851322e-05,1,23
Collecting duct acid secretion,3.327676283651127e-05,1,27
Glutamatergic synapse,3.940669283271071e-05,5,114
GABAergic synapse,8.076158171557791e-05,8,89
Cholinergic synapse,2.4066230265691185e-05,3,112
Dopaminergic synapse,2.7434277758345165e-05,4,131
Serotonergic synapse,2.3644015699626426e-05,3,114
Long-term potentiation,4.023011626503601e-05,3,67
Long-term depression,2.994908655286014e-05,2,60
Retrograde endocannabinoid signaling,5.463684708967728e-05,9,148
Synaptic vesicle cycle,2.3037758886815493e-05,2,78
Neurotrophin signaling pathway,7.550189887275666e-06,1,119
Phototransduction,6.417661404184316e-05,2,28
Olfactory transduction,3.230463268623116e-05,16,445
Taste transduction,7.577479730241721e-05,7,83
Inflammatory mediator regulation of TRP channels,4.4923629829290206e-05,5,100
Axon guidance,3.9711495981693006e-05,8,181
Osteoclast differentiation,5.615453728661276e-05,8,128
Longevity regulating pathway,4.0380790857788955e-05,4,89
Longevity regulating pathway - multiple species,4.347448047995827e-05,3,62
Circadian rhythm,5.796597397327769e-05,2,31
Circadian entrainment,3.705041635405378e-05,4,97
Thermogenesis,3.889491760111706e-05,10,231
Pathways in cancer,3.899032022919527e-05,23,530
Central carbon metabolism in cancer,0.0,0,65
Choline metabolism in cancer,4.5377403867969906e-05,5,99
Transcriptional misregulation in cancer,4.347448047995827e-05,9,186
MicroRNAs in cancer,3.0049250721933252e-06,1,299
Proteoglycans in cancer,2.6820077510024004e-05,6,201
Chemical carcinogenesis,1.0956982885192735e-05,1,82
Viral carcinogenesis,4.4700129183373345e-05,10,201
Colorectal cancer,1.0447355774253536e-05,1,86
Pancreatic cancer,0.0,0,75
Hepatocellular carcinoma,1.604415351046079e-05,3,168
Gastric cancer,1.809005228025109e-05,3,149
Glioma,1.1979634621144055e-05,1,75
Thyroid cancer,0.0,0,37
Acute myeloid leukemia,0.0,0,66
Chronic myeloid leukemia,2.3644015699626426e-05,2,76
Basal cell carcinoma,4.278440936122877e-05,3,63
Melanoma,1.2478786063691724e-05,1,72
Renal cell carcinoma,2.6042683959008816e-05,2,69
Bladder cancer,2.191396577038547e-05,1,41
Prostate cancer,1.852520817702689e-05,2,97
Endometrial cancer,0.0,0,58
Breast cancer,2.4448233920702155e-05,4,147
Small cell lung cancer,3.864398264885179e-05,4,93
Non-small cell lung cancer,0.0,0,66
Asthma,5.796597397327769e-05,2,31
Systemic lupus erythematosus,3.377716528518061e-05,5,133
Rheumatoid arthritis,1.974665047441328e-05,2,91
Autoimmune thyroid disease,1.695231314312838e-05,1,53
Inflammatory bowel disease (IBD),2.764531066417859e-05,2,65
Allograft rejection,2.3644015699626426e-05,1,38
Graft-versus-host disease,0.0,0,41
Primary immunodeficiency,4.856608630193536e-05,2,37
Alzheimer disease,5.779648282130904e-05,11,171
Parkinson disease,1.898181542082685e-05,3,142
Amyotrophic lateral sclerosis (ALS),1.7617109736976553e-05,1,51
Huntington disease,2.7931790567434326e-05,6,193
Prion diseases,7.701193685021179e-05,3,35
Cocaine addiction,1.8336175440526617e-05,1,49
Amphetamine addiction,3.963849690819724e-05,3,68
Morphine addiction,6.911327666044648e-05,7,91
Nicotine addiction,0.00011230907457322552,5,40
Alcoholism,1.497454327643007e-05,3,180
Fluid shear stress and atherosclerosis,2.5855326520454797e-05,4,139
Hypertrophic cardiomyopathy (HCM),9.513239257967338e-05,9,85
Arrhythmogenic right ventricular cardiomyopathy (ARVC),9.98302885095338e-05,8,72
Dilated cardiomyopathy (DCM),8.885992713485975e-05,9,91
Viral myocarditis,4.568504728402394e-05,3,59
Type II diabetes mellitus,0.0,0,46
Type I diabetes mellitus,0.0,0,43
Maturity onset diabetes of the young,0.0,0,26
Non-alcoholic fatty liver disease (NAFLD),2.4120069707001455e-05,4,149
Insulin resistance,2.495757212738345e-05,3,108
AGE-RAGE signaling pathway in diabetic complications,8.984725965858042e-06,1,100
Cushing syndrome,4.637277917862215e-05,8,155
Vibrio cholerae infection,0.0,0,50
Epithelial cell signaling in Helicobacter pylori infection,0.0,0,68
Pathogenic Escherichia coli infection,4.9007596177407504e-05,3,55
Salmonella infection,1.0447355774253536e-05,1,86
Shigellosis,0.0,0,65
Pertussis,5.911003924906606e-05,5,76
Legionellosis,1.6335865392469167e-05,1,55
Staphylococcus aureus infection,6.606416151366207e-05,5,68
Tuberculosis,7.027159973296792e-05,14,179
Bacterial invasion of epithelial cells,0.0,0,74
Human T-cell leukemia virus 1 infection,4.512876055910432e-05,11,219
Human immunodeficiency virus 1 infection,3.390462628625676e-05,8,212
Measles,2.7226442320781944e-05,4,132
Influenza A,5.254225711028095e-06,1,171
Hepatitis B,3.8584712736813676e-05,7,163
Hepatitis C,3.477958438396661e-05,6,155
Herpes simplex infection,3.885286904154829e-05,8,185
Human cytomegalovirus infection,4.392532694419487e-05,11,225
Kaposi sarcoma-associated herpesvirus infection,3.864398264885179e-05,8,186
Epstein-Barr virus infection,3.5760103346698674e-05,8,201
Human papillomavirus infection,4.3562307713251114e-05,16,330
Amoebiasis,4.679544773884397e-05,5,96
Malaria,3.6672350881053234e-05,2,49
Toxoplasmosis,1.590216985107618e-05,2,113
Leishmaniasis,2.428304315096768e-05,2,74
Chagas disease (American trypanosomiasis),2.6169104754926335e-05,3,103
African trypanosomiasis,0.0,0,37
EGFR tyrosine kinase inhibitor resistance,0.0,0,79
Platinum drug resistance,2.4615687577693265e-05,2,73
Antifolate resistance,0.0,0,31
Endocrine resistance,9.262604088513445e-06,1,97
Protein kinases,4.29480208693023e-05,25,523
Protein phosphatases and associated proteins,3.932046374554942e-05,20,457
Peptidases,5.227476925590134e-05,32,550
Glycosyltransferases,4.813246053138237e-05,12,224
Lipid biosynthesis proteins,4.382793154077094e-05,4,82
Prenyltransferases,5.989817310572028e-05,1,15
Amino acid related enzymes,3.0981813675372557e-05,2,58
Cytochrome P450,1.497454327643007e-05,1,60
Transcription factors,5.0539083557951484e-05,63,1120
Transcription machinery,4.033958596915855e-05,11,245
Messenger RNA biogenesis,5.9083231975030205e-05,29,441
Ribosome biogenesis,3.7436358191075174e-05,10,240
Transfer RNA biogenesis,3.3072610917268865e-05,6,163
Translation factors,2.929801945388492e-05,3,92
Chaperones and folding catalysts,2.428304315096768e-05,6,222
Membrane trafficking,4.2304763516371946e-05,63,1338
Ubiquitin system,4.402064229503312e-05,39,796
DNA replication proteins,7.425393360213258e-05,10,121
Chromosome and associated proteins,5.736580858270017e-05,74,1159
DNA repair and recombination proteins,7.322974141451695e-05,26,319
Mitochondrial biogenesis,4.909686320141006e-05,20,366
Transporters,5.531137606609304e-05,41,666
Secretion system,0.0,0,16
Bacterial toxins,0.0001497454327643007,1,6
Cytoskeleton proteins,5.129075846651244e-05,29,508
Exosome,4.175345973806663e-05,54,1162
Prokaryotic defense system,0.0,0,3
G protein-coupled receptors,5.6292509122697806e-05,51,814
Cytokine receptors,6.417661404184316e-05,8,112
Pattern recognition receptors,0.00010482180293501049,7,60
Nuclear receptors,3.7436358191075174e-05,2,48
Ion channels,5.50676752746138e-05,19,310
GTP-binding proteins,1.403863432165319e-05,3,192
Cytokines and growth factors,3.7910236142860936e-05,10,237
Cell adhesion molecules,7.019317160826595e-05,15,192
CD molecules,7.538205458883163e-05,37,441
Proteoglycans,5.085693942938514e-05,3,53
Glycosaminoglycan binding proteins,4.4923629829290206e-05,10,200
Glycosylphosphatidylinositol (GPI)-anchored proteins,4.228106336874373e-05,4,85
Lectins,5.945774536229587e-05,9,136
Non-coding RNAs,0.0,0,314
Enzymes with EC numbers,5.590496156533893e-05,14,225
Energy metabolism,0.0,0,2
Lipid metabolism,0.0,0,11
Nucleotide metabolism,0.0,0,1
Amino acid metabolism,0.0,0,4
Cofactor metabolism,0.0,0,5
Others,0.0,0,11
Transcription,0.0,0,27
Translation,0.0,0,8
Protein processing,0.0,0,1
Replication and repair,0.0,0,2
Transport,0.0,0,2
Cell motility,5.615453728661276e-05,1,16
Signaling proteins,5.953734073761353e-05,11,166
Structural proteins,0.00011092254278837088,10,81
General function prediction only,0.0,0,14
